date,rating,text,thumbs_up,city,primary_theme,review_id,compound,pos_score,neg_score,neu_score,sentiment_label,topics,primary_topic,month,week
2025-04-01,5,Life-changing service for someone who can't drive. Thank you Waymo!,41,San Francisco,general_experience,1,0.0,0.0,0.0,1.0,neutral,['Coverage & Expansion'],Coverage & Expansion,2025-04,2025-03-31/2025-04-06
2025-04-01,4,The estimated arrival time was accurate. Car showed up right on time.,26,Phoenix,wait_times,2,0.4215,0.141,0.0,0.859,positive,['Wait Times & Availability'],Wait Times & Availability,2025-04,2025-03-31/2025-04-06
2025-04-01,2,The novelty wore off. Now I just notice the long waits and limited coverage.,4,San Francisco,general_experience,3,-0.3182,0.0,0.091,0.909,negative,"['Coverage & Expansion', 'Wait Times & Availability']",Coverage & Expansion,2025-04,2025-03-31/2025-04-06
2025-04-01,5,The car handled a sudden obstacle in the road perfectly. Very impressive safety response.,5,San Francisco,safety_trust,4,0.5849,0.189,0.0,0.811,positive,['Safety & Trust'],Safety & Trust,2025-04,2025-03-31/2025-04-06
2025-04-01,3,The car took me to the wrong entrance of a mall. Minor but annoying.,8,San Francisco,general_experience,5,-0.7506,0.0,0.286,0.714,negative,['General Experience'],General Experience,2025-04,2025-03-31/2025-04-06
2025-04-02,5,Car arrived in under 3 minutes! Faster than any Uber I've ordered.,12,Los Angeles,wait_times,6,0.4753,0.153,0.0,0.847,positive,['Wait Times & Availability'],Wait Times & Availability,2025-04,2025-03-31/2025-04-06
2025-04-02,1,"Getting expensive. For the wait times I deal with, the price doesn't feel worth it.",28,Los Angeles,pricing,7,-0.5588,0.0,0.167,0.833,negative,"['Pricing & Value', 'Wait Times & Availability']",Pricing & Value,2025-04,2025-03-31/2025-04-06
2025-04-02,3,Can never get a car when I actually need one. Wait times need serious improvement.,5,Phoenix,wait_times,8,0.0,0.0,0.0,1.0,neutral,['Wait Times & Availability'],Wait Times & Availability,2025-04,2025-03-31/2025-04-06
2025-04-02,5,Cheaper than I expected for an autonomous car ride. Very competitive pricing. Wish they would expand to the suburbs. I can only use it in the city center.,6,Phoenix,pricing,9,0.4201,0.065,0.0,0.935,positive,"['Coverage & Expansion', 'Pricing & Value']",Coverage & Expansion,2025-04,2025-03-31/2025-04-06
2025-04-02,3,The consistency is what I love most. Every ride is the same great quality.,12,Los Angeles,general_experience,10,0.8271,0.322,0.0,0.678,positive,['Ride Quality & Smoothness'],Ride Quality & Smoothness,2025-04,2025-03-31/2025-04-06
2025-04-02,5,Really polished app. The ride tracking and ETA features work perfectly.,3,Phoenix,app_experience,11,0.4927,0.196,0.0,0.804,positive,"['App & UX', 'Wait Times & Availability']",App & UX,2025-04,2025-03-31/2025-04-06
2025-04-02,3,Can never get a car when I actually need one. Wait times need serious improvement. Would rate 5 stars if not for the consistently long wait times in my neighborhood.,3,Los Angeles,wait_times,12,0.0,0.0,0.0,1.0,neutral,"['Wait Times & Availability', 'Coverage & Expansion']",Wait Times & Availability,2025-04,2025-03-31/2025-04-06
2025-04-03,5,"Simple, clean interface. Booking a ride takes literally 10 seconds. The service area is growing fast. Can now get rides to places I couldn't before.",0,Phoenix,app_experience,13,0.5719,0.109,0.0,0.891,positive,"['App & UX', 'Coverage & Expansion', 'Wait Times & Availability']",App & UX,2025-04,2025-03-31/2025-04-06
2025-04-03,3,Pricing is fair and often cheaper than Uber during surge times.,12,Los Angeles,pricing,14,0.3182,0.115,0.0,0.885,positive,['Pricing & Value'],Pricing & Value,2025-04,2025-03-31/2025-04-06
2025-04-03,5,Pricing is fair and often cheaper than Uber during surge times.,11,San Francisco,pricing,15,0.3182,0.115,0.0,0.885,positive,['Pricing & Value'],Pricing & Value,2025-04,2025-03-31/2025-04-06
2025-04-03,1,Love the ride but hate the wait. 20 minutes is not acceptable when I'm late. Not bad but not great either. Inconsistent experience depending on time of day.,1,Los Angeles,wait_times,16,-0.0875,0.148,0.158,0.694,negative,['Wait Times & Availability'],Wait Times & Availability,2025-04,2025-03-31/2025-04-06
2025-04-03,1,Service area is still too small. Half my regular destinations aren't covered.,16,San Francisco,coverage_area,17,-0.2023,0.0,0.068,0.932,negative,['Coverage & Expansion'],Coverage & Expansion,2025-04,2025-03-31/2025-04-06
2025-04-04,5,So glad they expanded to my neighborhood! Coverage keeps getting better.,13,Los Angeles,coverage_area,18,0.7569,0.344,0.0,0.656,positive,['Coverage & Expansion'],Coverage & Expansion,2025-04,2025-03-31/2025-04-06
